problem_id,status,effective_maxloop,branches,candidate_paths,validated_candidates,minimum_tests,eppather_predicted_edges,eppather_predicted_coverage,eppather_covered_edges,eppather_coverage,official_tests,official_covered_edges,official_coverage,coverage_prediction_correct,path_replay_matches,detail
0521,not_applicable,,,,,,,,,,,,,,,"maxloop=2: cnip !!!a!!!!
equals!!!!!1000-a!!!!
equals!!!!!0!!!!
equals!!!!!0!!!!
equals!!!!!epp_bound_1 = 0!!!!
equals!!!!!2!!!!
equals!!!!!6!!!!
equals!!!!!(i<6)!!!!
equals!!!!!1!!!!
equals!!!!!i + 1!!!!
equals!!!!!1!!!!
equals!!!!!epp_bound_1 + 1!!!!
equals!!!!!epp_bound_1 = epp_bound_1 + 1!!!!
equals!!!!!0!!!!
equals!!!!!2!!!!
equals!!!!!coin[i]!!!!
equals!!!!!(a>=coin[i])!!!!
equals!!!!!1!!!!
equals!!!!!epp_bound_2 + 1!!!!
equals!!!!!coin[i]!!!!
equals!!!!!1!!!!
equals!!!!!c + 1!!!!
DFS2 is ready to dump ~
 | maxloop=10: no plain int main | maxloop=5: no plain int main | maxloop=3: no plain int main | maxloop=2: no plain int main"
0522,not_applicable,,,,,,,,,,,,,,,maxloop=2: unsupported scanf format | maxloop=10: unsupported scanf format | maxloop=5: unsupported scanf format | maxloop=3: unsupported scanf format | maxloop=2: unsupported scanf format
0532,ok,10,2,2,2,1,4,100.0,4,100.0,5,4,100.0,True,2,
0554,ok,10,1,2,2,1,2,100.0,2,100.0,5,2,100.0,True,2,
0592,ok,3,2,1,1,1,3,75.0,3,75.0,5,4,100.0,True,1,
1129,not_applicable,,,,,,,,,,,,,,,"maxloop=2: no plain int main | maxloop=10: cnip !!!1!!!!
equals!!!!!epp_bound_4 + 1!!!!
equals!!!!!epp_bound_4 = epp_bound_4 + 1!!!!
equals!!!!!1!!!!
equals!!!!!j!!!!
equals!!!!!b[p-1+j]!!!!
equals!!!!!c!!!!
equals!!!!!0!!!!
equals!!!!!epp_bound_5 = 0!!!!
equals!!!!!10!!!!
equals!!!!!p!!!!
equals!!!!!1!!!!
equals!!!!!c+p-1!!!!
equals!!!!!(j<c+p-1)!!!!
equals!!!!!1!!!!
equals!!!!!j + 1!!!!
equals!!!!!1!!!!
equals!!!!!epp_bound_5 + 1!!!!
equals!!!!!epp_bound_5 = epp_bound_5 + 1!!!!
equals!!!!!c!!!!
equals!!!!!b[j-c]!!!!
DFS2 is ready to dump ~
 | maxloop=5: cnip !!!!1!!!!
equals!!!!!epp_bound_4 + 1!!!!
equals!!!!!epp_bound_4 = epp_bound_4 + 1!!!!
equals!!!!!1!!!!
equals!!!!!j!!!!
equals!!!!!b[p-1+j]!!!!
equals!!!!!c!!!!
equals!!!!!0!!!!
equals!!!!!epp_bound_5 = 0!!!!
equals!!!!!5!!!!
equals!!!!!p!!!!
equals!!!!!1!!!!
equals!!!!!c+p-1!!!!
equals!!!!!(j<c+p-1)!!!!
equals!!!!!1!!!!
equals!!!!!j + 1!!!!
equals!!!!!1!!!!
equals!!!!!epp_bound_5 + 1!!!!
equals!!!!!epp_bound_5 = epp_bound_5 + 1!!!!
equals!!!!!c!!!!
equals!!!!!b[j-c]!!!!
DFS2 is ready to dump ~
 | maxloop=3: cnip !!!!1!!!!
equals!!!!!epp_bound_4 + 1!!!!
equals!!!!!epp_bound_4 = epp_bound_4 + 1!!!!
equals!!!!!1!!!!
equals!!!!!j!!!!
equals!!!!!b[p-1+j]!!!!
equals!!!!!c!!!!
equals!!!!!0!!!!
equals!!!!!epp_bound_5 = 0!!!!
equals!!!!!3!!!!
equals!!!!!p!!!!
equals!!!!!1!!!!
equals!!!!!c+p-1!!!!
equals!!!!!(j<c+p-1)!!!!
equals!!!!!1!!!!
equals!!!!!j + 1!!!!
equals!!!!!1!!!!
equals!!!!!epp_bound_5 + 1!!!!
equals!!!!!epp_bound_5 = epp_bound_5 + 1!!!!
equals!!!!!c!!!!
equals!!!!!b[j-c]!!!!
DFS2 is ready to dump ~
 | maxloop=2: cnip !!!!1!!!!
equals!!!!!epp_bound_4 + 1!!!!
equals!!!!!epp_bound_4 = epp_bound_4 + 1!!!!
equals!!!!!1!!!!
equals!!!!!j!!!!
equals!!!!!b[p-1+j]!!!!
equals!!!!!c!!!!
equals!!!!!0!!!!
equals!!!!!epp_bound_5 = 0!!!!
equals!!!!!2!!!!
equals!!!!!p!!!!
equals!!!!!1!!!!
equals!!!!!c+p-1!!!!
equals!!!!!(j<c+p-1)!!!!
equals!!!!!1!!!!
equals!!!!!j + 1!!!!
equals!!!!!1!!!!
equals!!!!!epp_bound_5 + 1!!!!
equals!!!!!epp_bound_5 = epp_bound_5 + 1!!!!
equals!!!!!c!!!!
equals!!!!!b[j-c]!!!!
DFS2 is ready to dump ~
"
1130,not_applicable,,,,,,,,,,,,,,,maxloop=2: no plain int main | maxloop=10: scanf arity | maxloop=5: scanf arity | maxloop=3: scanf arity | maxloop=2: scanf arity
1141,not_applicable,,,,,,,,,,,,,,,maxloop=2: helper/external calls: judge | maxloop=10: no feasible paths | maxloop=5: no feasible paths | maxloop=3: no feasible paths | maxloop=2: no feasible paths
1159,not_applicable,,,,,,,,,,,,,,,maxloop=2: no plain int main | maxloop=10: scanf arity | maxloop=5: scanf arity | maxloop=3: scanf arity | maxloop=2: scanf arity
1160,not_applicable,,,,,,,,,,,,,,,maxloop=2: complex scanf target | maxloop=10: scanf arity | maxloop=5: scanf arity | maxloop=3: scanf arity | maxloop=2: scanf arity
1186,not_applicable,,,,,,,,,,,,,,,maxloop=2: scanf arity | maxloop=10: Command '['/tmp/tmprrj47bwh/original_run']' timed out after 5 seconds | maxloop=5: Command '['/tmp/tmp836c0bv7/original_run']' timed out after 5 seconds | maxloop=3: Command '['/tmp/tmpdr9afgsm/original_run']' timed out after 5 seconds | maxloop=2: Command '['/tmp/tmpzj0iqio0/original_run']' timed out after 5 seconds
1192,not_applicable,,,,,,,,,,,,,,,"maxloop=2: compile                                                                                           ^
/tmp/tmph06zqwpj/model_run.c: In function ‘main’:
/tmp/tmph06zqwpj/model_run.c:20:90: warning: implicit declaration of function ‘atoi’ [-Wimplicit-function-declaration]
   20 | int main(int argc,char**argv){int input[64]={0};for(int i=1;i<argc&&i<=64;i++)input[i-1]=atoi(argv[i]);return epp_model(input);}
      |                                                                                          ^~~~
 | maxloop=10: scanf arity | maxloop=5: scanf arity | maxloop=3: scanf arity | maxloop=2: scanf arity"
2000,not_applicable,,,,,,,,,,,,,,,maxloop=2: scanf arity | maxloop=10: scanf arity | maxloop=5: scanf arity | maxloop=3: scanf arity | maxloop=2: scanf arity
2197,not_applicable,,,,,,,,,,,,,,,maxloop=2: no plain int main | maxloop=10: no plain int main | maxloop=5: no plain int main | maxloop=3: no plain int main | maxloop=2: no plain int main
ALDS1_10_B,not_applicable,,,,,,,,,,,,,,,"maxloop=2: cnip  M[j]!!!!
equals!!!!!key[i][k] + key[k+1][j] + M[i-1] * M[k] * M[j]!!!!
equals!!!!!q!!!!
equals!!!!!q!!!!
DFS2 is ready to dump ~
Error: unsupported type for sort: int [102], file: /home/zhangliwei/eppather/epat++/libepat++/src/smt_expr.cpp, line: 53

Error: unsupported type for sort: int [102], file: /home/zhangliwei/eppather/epat++/libepat++/src/smt_expr.cpp, line: 53

[DFS TIME COST]: 0.0518527 seconds
[FEASIBLE PATHS]:
  (none)
[MATRIX]:
[DFS MAX MEMS]: -1
[DFS MIN MEMS]: 0
[matrix_before]:
 | maxloop=10: complex scanf target | maxloop=5: complex scanf target | maxloop=3: complex scanf target | maxloop=2: complex scanf target"
ALDS1_10_C,not_applicable,,,,,,,,,,,,,,,maxloop=2: unsupported scanf format | maxloop=10: unsupported scanf format | maxloop=5: unsupported scanf format | maxloop=3: unsupported scanf format | maxloop=2: unsupported scanf format
